category,text
Non-anti-LGBT+ content,Public lam Enna pannitu irukanga...  Ellarum antha thirunangaiya kekka vendiyathu thana...  Pavam Antha uncle 🙁🙁... Ivangala lam police kitta sonnalum thiruntha maattanga...  So badly thirunangai lam Chennai LA mattum than irukanga
Non-anti-LGBT+ content,Anna unga fb I'd sollunga
Non-anti-LGBT+ content,"Kattupaadu, suthanthiram na enna broo... Neenga sollunglaaen keppom..."
Non-anti-LGBT+ content,Dai..edhu dhan da correct ana video..youtube la innaiku dhan da nalla video pathuruke..wish you guys💥💥💥
Homophobic,Homosexual nayungala adikkanum oda oda😠😠😠😠😠😤😤😤😤😤😤😤😤
Non-anti-LGBT+ content,Ur watsapp number
Transphobic,Saniyanungala savadikanum ithungala intha Uzhagathula irukanum nu thevaiya illa
Homophobic,naye unna mari aaluga eruntha manitha iname alinjirum
Non-anti-LGBT+ content,@Kadhayalla Nijam  poda thevidiya
Non-anti-LGBT+ content,Bro part 2 video enga bro plzzz  sollunga bro
Non-anti-LGBT+ content,hats off malini akka..... love  :3
Non-anti-LGBT+ content,Apdi ena dha pa ne solla vara???  Ipadi ellarkitayum nalla vaangikitu irukura...  Ayyoooo paavam
Non-anti-LGBT+ content,Riya pls help me one time ill meet katrina.
Non-anti-LGBT+ content,Edhuku ellam guts veanum bro excellent job handsoff
Non-anti-LGBT+ content,@Rajesh R  u from
Non-anti-LGBT+ content,Rmba alaga irukanga 😍
Non-anti-LGBT+ content,Vara level act bro...
Non-anti-LGBT+ content,Nee Solratha kuda accept pannikalam but the way of your speaking tha sema gandu aguthu..periya Punda Mari pesatha veri aguthu...!!
Non-anti-LGBT+ content,Love you Nanba🥰🥰🥰🥰
Non-anti-LGBT+ content,@Sakthi kumar   people
Non-anti-LGBT+ content,neengal solvathu unmaiye. hetero sex pandravanga ellam abalinga illa. enenral ivarkalal than pala sirumigal karpazhikka padugirarkal.
Non-anti-LGBT+ content,Next video part 2eipo varum
Non-anti-LGBT+ content,age enna dear
Non-anti-LGBT+ content,Like like like enna dhan aatha solla vara nee
Non-anti-LGBT+ content,@Kalees kalees  😁😁😁💯❤
Non-anti-LGBT+ content,but tamilnattula maraimugama palagunatthan undu public yetthukidamattanga
Non-anti-LGBT+ content,Eana pa.. Ealam English laye pasuranga
Non-anti-LGBT+ content,Antha akka ku nal heart.....😘💝
Non-anti-LGBT+ content,All questions very nice answer
Non-anti-LGBT+ content,Semma acting thala apdiye thirunangai maathiri maaritinga.. 👌👌👌
Non-anti-LGBT+ content,Bro gr na aenna bro
Non-anti-LGBT+ content,I support LGBTQ
Non-anti-LGBT+ content,Mujiyama thukan than karanam
Transphobic,Yaa muthavi unna patha pombala Mari illa ambala marium illa
Non-anti-LGBT+ content,Ellam prank showvaiyum mega thodar maadri .aakitingale
Non-anti-LGBT+ content,Yaar brother andha Aattu manada kaaran
