category,text
None-of-the-above,Public lam Enna pannitu irukanga...  Ellarum antha thirunangaiya kekka vendiyathu thana...  Pavam Antha uncle 🙁🙁... Ivangala lam police kitta sonnalum thiruntha maattanga...  So badly thirunangai lam Chennai LA mattum than irukanga
None-of-the-above,Anna unga fb I'd sollunga
None-of-the-above,"Kattupaadu, suthanthiram na enna broo... Neenga sollunglaaen keppom..."
None-of-the-above,Dai..edhu dhan da correct ana video..youtube la innaiku dhan da nalla video pathuruke..wish you guys💥💥💥
Homophobic-Threatening,Homosexual nayungala adikkanum oda oda😠😠😠😠😠😤😤😤😤😤😤😤😤
None-of-the-above,Ur watsapp number
Transphobic-Threatening,Saniyanungala savadikanum ithungala intha Uzhagathula irukanum nu thevaiya illa
Homophobic-derogation,naye unna mari aaluga eruntha manitha iname alinjirum
None-of-the-above,@Kadhayalla Nijam  poda thevidiya
None-of-the-above,Bro part 2 video enga bro plzzz  sollunga bro
Hope-Speech,hats off malini akka..... love  :3
None-of-the-above,Apdi ena dha pa ne solla vara???  Ipadi ellarkitayum nalla vaangikitu irukura...  Ayyoooo paavam
None-of-the-above,Riya pls help me one time ill meet katrina.
None-of-the-above,Edhuku ellam guts veanum bro excellent job handsoff
None-of-the-above,@Rajesh R  u from
None-of-the-above,Rmba alaga irukanga 😍
None-of-the-above,Vara level act bro...
None-of-the-above,Nee Solratha kuda accept pannikalam but the way of your speaking tha sema gandu aguthu..periya Punda Mari pesatha veri aguthu...!!
None-of-the-above,Love you Nanba🥰🥰🥰🥰
None-of-the-above,@Sakthi kumar   people
None-of-the-above,neengal solvathu unmaiye. hetero sex pandravanga ellam abalinga illa. enenral ivarkalal than pala sirumigal karpazhikka padugirarkal.
None-of-the-above,Next video part 2eipo varum
None-of-the-above,age enna dear
None-of-the-above,Like like like enna dhan aatha solla vara nee
None-of-the-above,@Kalees kalees  😁😁😁💯❤
None-of-the-above,but tamilnattula maraimugama palagunatthan undu public yetthukidamattanga
None-of-the-above,Eana pa.. Ealam English laye pasuranga
None-of-the-above,Antha akka ku nal heart.....😘💝
None-of-the-above,All questions very nice answer
None-of-the-above,Semma acting thala apdiye thirunangai maathiri maaritinga.. 👌👌👌
None-of-the-above,Bro gr na aenna bro
Hope-Speech,I support LGBTQ
None-of-the-above,Mujiyama thukan than karanam
Transphobic-derogation,Yaa muthavi unna patha pombala Mari illa ambala marium illa
None-of-the-above,Ellam prank showvaiyum mega thodar maadri .aakitingale
None-of-the-above,Yaar brother andha Aattu manada kaaran
Transphobic-Threatening,Ivangala vetti podanum ivangala ippadiye vittomna treinla nalla padiya engaium poga mudiyathu thevdiyamundaingala kathi eduthu vailiye vettanum
None-of-the-above,Great Video antha akka ku oru BIG HATS OFFF
None-of-the-above,iva Vijay rasikaiya irupalo
Homophobic-derogation,"Otha thevidiya paiya, loosu koodhi, punda, lawadekabal. Unna nerla paatha saavadichiruvan da punda koodhi. Ommala sunni"
None-of-the-above,Ore visayam pidikadhu.... Sabam vduvangle....
None-of-the-above,Anna part 2 eppo poduvenga I am waiting
Homophobic-derogation,Kalli kalam ivungula mari aaluga naala tamil culture eh spoil aaga poguthu
None-of-the-above,"gomma pundaila nanduuuuu,nan daily adipen senduuuu😂😂😂😂"
None-of-the-above,Super bro.... chanceless daa
None-of-the-above,@Jenkins Jeru  I'm grateful
Hope-Speech,I am lesbian na happyah than iruken
None-of-the-above,Daiy punda number ah kudukara .... Otha
None-of-the-above,"Enakku oru doubt thiru nangaium ,ivangalum onna"
None-of-the-above,Kalakunga thala thirunanga thirunanga thaan speech less
Homophobic-derogation,Yogesh Waran Hey nee 9 taane 😜😆
None-of-the-above,@Mohamed Ashif  dei nadikkatha da avanga ponnunu theriyatha unakku😬
None-of-the-above,Bro Naan Ethum Thappa Sollala Ninga Thappa Puringukittinga Appadi Naan Yethavathu Thappa Pesirunthaa.. Sorry Ennai Maniichurungaa🙏🙏🙏
None-of-the-above,Bro vera leval bro nee
None-of-the-above,mothala ethu kalacharan sollunga
None-of-the-above,Antha akka manasa pathi solrathukku varthaiye illa engeyooo poitanga
Homophobic-derogation,Ne la manusha piravi ya cha
None-of-the-above,Ayya white T-shirt! Tamil culture pathi mulusa padichitu pesunga ji!
None-of-the-above,@Manoj Nadarajan  yup.. so whuttttt?
Counter-speech,iva oruthi Panna thappukku ellarayum kutham solrathu thappu
Counter-speech,"Mudinja kasu kodunga illana illa nu solunga , adha vitutu meala kaivekkadhanu    eliva peasuna avangalukum kovam varadhana seium !!  Nothing more to say 🤐"
None-of-the-above,She Is So Beautiful ❤❤❤ ....; 11:06 Bonda Ma3 Iruka Ashiq 🤣🤣
None-of-the-above,Oootha aaathhu yathuiku uniku kannna
None-of-the-above,Vara level 😉 bro
None-of-the-above,@Prem Kumar  hi
None-of-the-above,Naa onga channel la entha prank kum parthathu illa aana intha prank a paarthathum onga channel oda mega periya fun aaittain enaku therinjee ongaloda yella prank kaium paakamalaiyai sollurain intha prank maathiri entha prank kum irukaathu neenga prank pannathulaiyai ithu thaan best prank aaa irukum apadnu naa nanaikurain
None-of-the-above,Bro supar bro sama sapert in thirunangai
None-of-the-above,Bro veara level bro part 2 eppo bro pandriga bro paavam bro thirumathi samma bro Akka romba nallavaga bro
None-of-the-above,Love u so macha
None-of-the-above,vere vevel  feelings........go on guys
None-of-the-above,Adinggg Goiyaala...Neelam oru Rowdyaa...
None-of-the-above,Avanga rompa nallavangala irukanga please eni yarum avanga kita poi prank panathinga last avanga kita neenga prank nu sona appuram avanga manasu yavalovu kasta padum nu yosinga 😕😕
None-of-the-above,Dei eannoda shares sarija poichcha
Homophobic-derogation,Nalaa kozhappura d alien mandai po d poi ponnu maathiri mudi valathittu va
None-of-the-above,ok bro ❤️
None-of-the-above,Nalla iruku ga
Homophobic-derogation,Sudharshan AJ why mental your mental man
None-of-the-above,Good night sir
None-of-the-above,You look more beautiful😍 sis
None-of-the-above,"Yow paaka dummy piece ah iruka,, aana sema ya act panriye daa,,,,,👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻👏🏻"
None-of-the-above,Akka enaku thirunangaina rompa pidikum enaku thirunangai friend illena oru Akka apdi yaarum kedaikala  but neenga mass
Counter-speech,Ada paavigala.. Dei idhu unga arabia countries layum iruku da.. sexual orientation education theriama pesradhu thappu.. Un kadavul ku idhu pidikala na avan ta soli idha thaduthu nirutha solu pakalam.. 😂 idhu nature da fool😂
Counter-speech,"Avangavanga vaalkai tanippatta vishayam, freedom irukkanum ellarukkum.,; Kolandaigal:-paasatta kaatrattuku naattula kolandaigalukku panjam ille,namma vaittula porandaada kolandai aagumaa?"
None-of-the-above,Nanba na Kerala ponnu.; Onga vedio Remba pidichirikku
None-of-the-above,ViNu Vinuja Abi !997 nan mudivu irukana thoranthunu irukenanu NE Pathiya ..andha velakkennaya nalla ucham thalaila thechiko paithiyam theliyattum...
None-of-the-above,Nalla manasu kadavul antha akka
None-of-the-above,Solo pretty 🥰🥰
None-of-the-above,so beautiful but voice konjam hard aha iruku soft aha iruntha super aha irukum
Hope-Speech,"ithu iyargaithaan ivargal mana alavil aangale ithu iyargai avargalukku kututhathu. en annan (maalini) athai natraagaa sonnaargal. iyargai thaa en kadavul en annan num iyargai pataipe. So, en annanin happy enakum en kadavullukkum makiltchiye.. annaa I fully support you..."
None-of-the-above,Easy aana case
Counter-speech,bad comments kodukura ovvoruthrkullum aairam kuppai irukum.. atha clean pannitu...apram mathavangala pathi pesunga...
None-of-the-above,Benglore LA ippadi kedaiyadhu pa
Homophobic-derogation,loosu koodhi munda modhalla yenn kelvikku badhil solludi oru pennum pennum thangaloda pennuruppa nakkikkiradhudhan unakku sexunna appo kadavul pengalukku maadhavidaya yedhukku vachchar oru aanum aanum thangaludaiya aanuruppa sappikkiradhum aasana vaayila aanuruppa nozhakkiradhumdhan unakku sexunna pinna kadavul yean vindhu yendra ondrai padaikkanum nee yenna kadavulaivida adhigam purinjavala oru penn innoru pennudan sex vaikka virumbuvadhum oru aan innoru aanudan sex vaithukkolla virumbuvadhum oru vagaiyana manachidhaivudhan adhavadhu nee oru mental koodhinnu artham unnoda bodu language modhalla normala irukkannu neeye unna kannaadi munnala ninnu paarudi
None-of-the-above,"Vera level bro true love never fails, semma concept"
None-of-the-above,Mani bro vara level acting bro sama🔥👌🏻
Counter-speech,"Desi Gamer mudhalil manithanai manithanai parungal nanbare, mathathai kondu varathe, athuvum thani nabar virupam"
None-of-the-above,Ivangalukunu thaniya jail illaiye😋😛😝😜🤪
None-of-the-above,intreview adukura amma an nee moonja kattamatraaaaaa?
None-of-the-above,Cuddlur distict u
Hope-Speech,Transgender : Mariyadhaiku uriyavargal... 🙏 Yaar nu theriyadhavanga nalla irukkanum nenaikkuranga paarunga Kadavul sir 🌹🙏🌹
Counter-speech,"bold answers📓 , manithabimaanam valarkura, erikura oru samugathula entha veri seyalum, vanmuraium  nadakathu, thaiye  pettra kulanthai ya kollura intha manithabi maanam eillatha samugathin karuthukalai yetturukolla mudila , innum evalo nadakuthu atheillam vittutu , karuthurimai ya inga payapaduthurom.  life is too short, avangaluku pudichamaari than erikatume"
