category,text
None-of-the-above,நீங்க தான் சம்பளம் ஒரு நாளைக்கு 1500ருபாய் கேக்குறிங்க
None-of-the-above,அருமை உன் கதை
Homophobic-derogation,ஒன்னும் புரியாம கண்டதயும் பேசதீங்க...; சரி...அப்போ நீங்க இப்போ ஒரு பொண்ணு மேல ஆச படுறீங்க ...அப்போ நாளைக்கே ஒரு பெண் குதிரை இல்லை பெண் குரங்கு மேல ஆச படுவீங்களா? ; நீங்க பேசுற விஷியம் உங்க அறிவுக்கு எட்டலனா ..நீங்க தெரிஞ்சுட்டு பேசுங்க...
Homophobic-derogation,weird தமிழன்  உங்களை போன்ற ஈன பிறவிகள் இருக்கும் வரை தீமை பூமியில் இருக்கத்தான் செய்யும் ஒருவன் தவறு செய்துவிட்டு பிறரை தவறு என்பானாம்
None-of-the-above,கவலைப்படாத.தம்பி.உங்க வீட்ல. குடி சீக்கிரம்.ஒரு.திருநங்கை.கண்டிப்பா பொறக்கும்.இது.என்னுடைய.வாழ்த்துக்கள்.
None-of-the-above,I am also a gay. I don't know how the director thinks this level !... எங்களின் உணர்வுகளை இந்த அளவிற்கு உலகிற்கு வெளிக்காட்டியதற்கு மிக்க நன்றி....
None-of-the-above,சூப்பர் வீடியோ அண்ணா பாட்டு எப்ப அண்ணா
None-of-the-above,செம்மயா பன்றிங்கா வாழ்த்துகள் அக்கா..பெறிய மனசு...
Homophobic-derogation,இத எல்லாம் பேட்டி எடுக்குறீங்க அத நாங்க Comments செய்கிறோம் தூ இப்ப அஇன்னாவா அவளுக்கு
None-of-the-above,தடிபாபு வேறு.; நடைமுறை வாழ்க்கை வேறு.
None-of-the-above,"Aliy Yila அப்படிய,"
None-of-the-above,எங்கடா ஒன்னுமே தெரியல l🤣🤣🤣
None-of-the-above,அறிவு இருக்குற எவனும் இப்படி ப்ரான்க் பண்ண மாட்டான் நீங்கல்லாம் ஒரு மனிதனே இல்ல மனிதனா இருக்கிறவன் யாரு இப்படி பண்ண மாட்டான்
None-of-the-above,நீங்கள் செய்யும் நல்ல காரியங்களில் எங்களுக்கும் பங்கு தாருங்கள் உங்களுடைய PAYTM அல்லது google.pay நம்பரை பதிவிடவும் எங்களால் ஆனா உதவிகளை நாங்கள் செய்கிறோம்..
None-of-the-above,அவ்வப்போது வருகின்ற பின்னனி இசை மிகவும் மிகவும் அருமை..என் மனச எதோ பண்ணுது.......
None-of-the-above,போலீஸ் என்னடா பண்ணுது
None-of-the-above,இந்த மாதிரி திருநங்கை  நால எல்லாத்துக்கும் கெட்ட பேரு
None-of-the-above,ஆமாம் உன்னை பாத்தா?
Hope-Speech,"தாய் தந்தை தான் ஒருவனுக்கு முதல் உலகம், அந்த தந்தைக்கு பின் அந்த தாய்தான் அவனுக்கு எல்லாமாகிய உலகம்., அந்த உலகில் தன் மகன் மகிழ்வன் என தெரிந்து, இச்சமூகம் எப்படி ஏற்றுக்கொள்ளும் என நினைத்து (பயந்து) அந்த தாய் எதிர்கொள்ளும் போராட்டம் தான் இக்கதை 👍 அருமை. ; ; என் நிஜ வாழ்வில் நான் மகிழ்வானக சந்தித்த சில காட்சிகளை பார்க்க நேர்ந்தது., ; ; இவ்வுலகில் அனைவரும் சமம். அனைவரும் அக்கடவுளின் படைப்பே.,; ; மகிழ்வன் வாழ்வும் இயற்கையின் ஒன்றிஅமைத்தவை ஆகும். 🏳️‍🌈"
Hope-Speech,I am John ; From perambur chennai ; உங்களை நினைக்கும் போது எனக்கு ரொம்ப பெருமையா இருக்கு நீங்க செஞ்ச உதவியில் நாங்க சந்தோஷமா இருக்கும் உங்க நல்ல மனசுக்கு நீங்க நல்லா இருக்கணும் இன்னும் நீங்க நிறைய சாதிக்கணும் கடவுள் உங்க கூட இருப்பாரு நாங்களும் இருப்போம்
Homophobic-derogation,இதை சமூக உயர் அந்தஸ்து உள்ள நாய்கள்  இதை செய்து மற்ற மனிதர்கள் அனைவரும் இப்படி இருக்க வேண்டும் வா என்று அவர்கள் கேட்டபோது அவர்களை அழித்து தண்டனை தாறமல் நியாயதிபதிகள் துணை இவர்கள் உண்மையான மக்களை சிறை வைத்து கொலை செய்யவது இவர்கள் சாத்தான் பிள்ளைகள்..
Homophobic-derogation,Anchor ku பேச தெரியல ....; இயற்கைக்கு முரண்னானது முடிவில் அழிவை தரும்...இந்தியாவின் அடுத்த தலைமுறை நம் கண்முண்ணே அழிவை நோக்கி செல்கிறது.....
None-of-the-above,பொறுப்பு not பொருப்பு
None-of-the-above,ம் ம்ம்ம் இனி மக்கள் தொகை குறையும்
None-of-the-above,திறமைக்கு மதிப்பு கொடுங்க ... Plss gender pakkathiga ...
None-of-the-above,இப்டி அராஜகம் பன்னும்போது வேடிக்கை பாக்காம். அவன்க வாயில. அப்புனா அடுத்து யாரிடமும் இப்டி பேசக்கூடாது
None-of-the-above,மச்சி super ra போ இது தான் எனக்கு வேணும்...👭👭👭
None-of-the-above,கடைசி வர அந்த சகோதரி அவர விட்டு போகல லவ்லி அக்கா
None-of-the-above,Marshal Truman  ரொம்ப பேசாதே அழுகிட போகுது
None-of-the-above,சாமி சாமி ன்னு என்ன அழகா கூப்பிடுறாங்க
None-of-the-above,திருநங்கை எல்லாரும் நல்ல இருக்கணும்...
Hope-Speech,பெண்மையும் பொறாமை கொள்ளும் அழகும் நலினமும்  நீ கடவுளின் படைப்பில்  பொக்கிஷம் நீ😘; அம்மா உன் மனவலிமைக்கு அளவு இல்லை🙇🙇
None-of-the-above,"டேய் எச்ச நாயிங்களா ஏண்டா இப்படி,பாவம் பண்ணாதிங்க அந்த மாதிரி உனக்கு ஒரு குழந்த பொறக்கும் அப்ப தெரியும்"
None-of-the-above,சொக்கத்தங்கம்யா அந்த அக்கா ❤
Homophobic-derogation,இனி அடுத்தது அனிமெல் செக்ஸ்க்கு  அனுமதி கிடைக்கும்டா ; ஆம்பளைய சுவைத்து போரடித்தால் நாய் மாடு என பல ஐட்டங்கள் இருக்குது...; என்சாய் பன்னுங்கடா(டி)
None-of-the-above,"kuladeep mv  கேக்குற விதம் இருக்கு.சொல்ற மாதிரி.சொல்லணும்.தப்பா பேசினா.அந்தக் கடவுள்.பார்த்துகிட்டே இருக்கிறார்.கூடிய.சீக்கிரத்துல.உன் குடும்பத்தில்.ஒரு அழகான,திருநங்கை.கண்டிப்பாக பொறக்கும்.இது.கூத்தாண்டவர் மிது. சந்தியம். டா"
None-of-the-above,நான் இந்த வீடியோவை இப்பதான் பார்த்தேன் நீங்க ரொம்ப அழகா இருக்கிங்க நல்ல திறைமையாக இருக்கிங்க என்று சொல்வதைவிட  நான் ஒரு செய்தி கூறவிரும்புகிறேன் என்னுடைய கடை கம்பியூட்டர் கடை  என் கடைக்கு வேலைக்கு வருவதற்கு தயாரக இருக்கிங்களா உங்களுக்கு டைப் தெரியவேன்டும் கொஞ்சம் இங்கிலீஸ் தெரியவேன்டும் திறமைக்கு ஏற்ற சம்பளம் தயார பதில் சொல்லுங்கள்
Homophobic-derogation,இல்ல நண்பா தலை கீழாக நின்று தண்ணீர் குடித்தாலும் தவறை சரி என்று கூற முடியாது. இதில் எனக்கு ஏன் ஏறிய போகிறது. இறைவன் பெண்ணினிர் காக ஆணையும் ஆணிற்காக பெண்ணையும் படைத்திருக்கும் போது நாம் பெண்ணிற்கு பெண்ணும் ஆணிற்கு ஆணும் தேர்ந்தெடுப்பது எப்படி சரியாக அமையும். எல்லாரோட நட்பு பாராட்டுவது தவறு இல்லை சுக துக்கங்களை பகிர்ந்து கொள்வது எந்த தவரும் இல்லை ஆனால் புணர்ச்சியில் தான் தவறு உள்ளது. நாம் மிகவும் நேசிக்கும் ஒருவர் நம் தாயக இருக்கலாம் தந்தயாக இருக்கலாம் தோழன் தோழி சகோ சகி இப்படி யாராக வேண்டுமானாலும் இருக்கலாம் இந்த நேசதில் உணர்வை பங்கிடு வதொடு நிறுத்தி கொள்ள வேண்டும் இவர்களுடன் உடலை பங்கிடுதல் கூடாது நண்பா. அது ஈன செயல். உணர்வோடு உடலை பங்கிட எதிர் பாலினமே சரியானது. நாகரீக மற்ற வாழ்க்கை நன்றாக இருக்காது நண்பா. இறைவன் நமக்கு பகுத்தறிவை வழங்கி யுள்ளான் அதை உணர்ச்சிக்கு அடிமையாக்கி மலுங்க அடிக்க கூடாது உன் அறிவு கொண்டு யோசி.
