,texts,five
0,Public lam Enna pannitu irukanga...  Ellarum antha thirunangaiya kekka vendiyathu thana...  Pavam Antha uncle 🙁🙁... Ivangala lam police kitta sonnalum thiruntha maattanga...  So badly thirunangai lam Chennai LA mattum than irukanga,0
1,Anna unga fb I'd sollunga,0
2,"Kattupaadu, suthanthiram na enna broo... Neenga sollunglaaen keppom...",0
3,Dai..edhu dhan da correct ana video..youtube la innaiku dhan da nalla video pathuruke..wish you guys💥💥💥,0
4,Homosexual nayungala adikkanum oda oda😠😠😠😠😠😤😤😤😤😤😤😤😤,1
5,Ur watsapp number,0
6,Saniyanungala savadikanum ithungala intha Uzhagathula irukanum nu thevaiya illa,2
7,naye unna mari aaluga eruntha manitha iname alinjirum,1
8,@Kadhayalla Nijam  poda thevidiya,0
9,Bro part 2 video enga bro plzzz  sollunga bro,0
10,hats off malini akka..... love  :3,3
11,Apdi ena dha pa ne solla vara???  Ipadi ellarkitayum nalla vaangikitu irukura...  Ayyoooo paavam,0
12,Riya pls help me one time ill meet katrina.,0
13,Edhuku ellam guts veanum bro excellent job handsoff,0
14,@Rajesh R  u from,0
15,Rmba alaga irukanga 😍,0
16,Vara level act bro...,0
17,Nee Solratha kuda accept pannikalam but the way of your speaking tha sema gandu aguthu..periya Punda Mari pesatha veri aguthu...!!,0
18,Love you Nanba🥰🥰🥰🥰,0
19,@Sakthi kumar   people,0
20,neengal solvathu unmaiye. hetero sex pandravanga ellam abalinga illa. enenral ivarkalal than pala sirumigal karpazhikka padugirarkal.,0
21,Next video part 2eipo varum,0
22,age enna dear,0
23,Like like like enna dhan aatha solla vara nee,0
24,@Kalees kalees  😁😁😁💯❤,0
25,but tamilnattula maraimugama palagunatthan undu public yetthukidamattanga,0
26,Eana pa.. Ealam English laye pasuranga,0
27,Antha akka ku nal heart.....😘💝,0
28,All questions very nice answer,0
29,Semma acting thala apdiye thirunangai maathiri maaritinga.. 👌👌👌,0
30,Bro gr na aenna bro,0
31,I support LGBTQ,3
32,Mujiyama thukan than karanam,0
33,Yaa muthavi unna patha pombala Mari illa ambala marium illa,2
34,Ellam prank showvaiyum mega thodar maadri .aakitingale,0
35,Yaar brother andha Aattu manada kaaran,0
36,Ivangala vetti podanum ivangala ippadiye vittomna treinla nalla padiya engaium poga mudiyathu thevdiyamundaingala kathi eduthu vailiye vettanum,2
37,Great Video antha akka ku oru BIG HATS OFFF,0
38,iva Vijay rasikaiya irupalo,0
39,"Otha thevidiya paiya, loosu koodhi, punda, lawadekabal. Unna nerla paatha saavadichiruvan da punda koodhi. Ommala sunni",1
40,Ore visayam pidikadhu.... Sabam vduvangle....,0
41,Anna part 2 eppo poduvenga I am waiting,0
42,Kalli kalam ivungula mari aaluga naala tamil culture eh spoil aaga poguthu,1
43,"gomma pundaila nanduuuuu,nan daily adipen senduuuu😂😂😂😂",0
44,Super bro.... chanceless daa,0
45,@Jenkins Jeru  I'm grateful,0
46,I am lesbian na happyah than iruken,3
47,Daiy punda number ah kudukara .... Otha,0
48,"Enakku oru doubt thiru nangaium ,ivangalum onna",0
49,Kalakunga thala thirunanga thirunanga thaan speech less,0
50,Yogesh Waran Hey nee 9 taane 😜😆,1
51,@Mohamed Ashif  dei nadikkatha da avanga ponnunu theriyatha unakku😬,0
