category,text
Non-anti-LGBT+ content,Waiting for part 2
Non-anti-LGBT+ content,Make an initiative to ban caste and religion that's more worth than this shit.... Why can't u make a video and spread awareness to remove caste and religion that's more useful than this messed up message... Dei USA la Elarum regular health screening and very aware about STD diseases but in India it cannot be
Non-anti-LGBT+ content,azaright oh then explain what r the animals that having homosexual???
Non-anti-LGBT+ content,Muthamizh selvan Purushothaman  pon namer sent
Non-anti-LGBT+ content,Superb concept and very nice script
Non-anti-LGBT+ content,Lesbian sex is important in our society
Non-anti-LGBT+ content,Long days I have this doubt
Non-anti-LGBT+ content,"Hey vignesh,;  I think you did the write thing abt having a debate on that topic. Hope u have more debates like this."
Non-anti-LGBT+ content,Hello pon raj this s its chromosome changes they are so talented and so affection to each other it's not bad judgement ok...
Non-anti-LGBT+ content,Congratulations for your good effort guys 🙏
Non-anti-LGBT+ content,Aravinthakrishnan well said
Non-anti-LGBT+ content,Correct she is good heart lady not only she all transgender is really good heart person public should understand them
Non-anti-LGBT+ content,When a featus is forming in the womb for the 1st 6 weeks its brain structure developed as a girl's brain onlu after 6th week if the featus is a male testosterone and other male sex organs will develop if any defects occur at this stage the boy will have a male body and female brain and automatically he gets attraction with the same gender they cant do anything with this like wise happens in girls to whether you accept homosex or not its ur personal choise but DON'T HURT ANYONES FEELINGS 😊😊✌
Non-anti-LGBT+ content,Ithu ovvoruvarinathum thanippadda viruppam..
Homophobic,next 10- years'la total world people's Hiv patients .100% conform. (no children).
Non-anti-LGBT+ content,She is so cute
Non-anti-LGBT+ content,"Hamelton Melvin  super.if you need any help to your service contact me.iif I can do it ,I will help to you."
Homophobic,"sagothari malini this is very bad.unnatural.shame for humenbeing. it' up to you. your life you may do what you want,it's your personel but don't explain like this. pls try to Give better advice for our tamil society not poison. be tamil a tamil cultured women. i  am sorry people like you sister.nonsence!"
Non-anti-LGBT+ content,I've watched more than 50 LGBTQ movies including English and Hindi... This one is the best and the most Relatable ever
Non-anti-LGBT+ content,❤️🌈from delhi...; Happy to see Chennai is very modern
Non-anti-LGBT+ content,I've seen about humanity here
Non-anti-LGBT+ content,We are waiting for part 2
Non-anti-LGBT+ content,Awesome story 😍
Non-anti-LGBT+ content,atleast LGBT already exist in indian culture and mention in purana but child abuse? had in indian culture
Non-anti-LGBT+ content,Not 20 years bro
Non-anti-LGBT+ content,Many may know such   areas and such problems like this bt they  wont  care   bt  for my  opinion  i  have given  a point thats all
Non-anti-LGBT+ content,what is Your age
Non-anti-LGBT+ content,Actually its according to their wise! But generally its right one!
Non-anti-LGBT+ content,+Rizwan Mn posting my wasap no in publ8c could pose huge detrimental cause..can i catch you up in fb...?
Non-anti-LGBT+ content,No hate feeling in gay boy
Non-anti-LGBT+ content,Really superb Anna 👌
Non-anti-LGBT+ content,so smart and brave 🌈❤!!!
Non-anti-LGBT+ content,There is no wrong in saying she is transgender in fact she is proud of being one!
Homophobic,Mental speaking and mentals listening this is future world ending
Non-anti-LGBT+ content,Bro Please About #Animators & History
Non-anti-LGBT+ content,Hi friend callme
Non-anti-LGBT+ content,Madan Gowri bro please explain about incest sex relationships and where it is practiced officially and also about esp with example cases.
Homophobic,2 CORINTHIANS 5:10 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad.
Non-anti-LGBT+ content,Hey hii.. I too support LGBTQ.. because it's just a feelings.. what's wrong in having a feeling with same gender..
Non-anti-LGBT+ content,jesus baby  Hi
Non-anti-LGBT+ content,Am eagerly waiting
Non-anti-LGBT+ content,Thanks a lot
Non-anti-LGBT+ content,Good attempt team.
Non-anti-LGBT+ content,Superb.... Malini ..... Akka.; Congrats to you.; Lots of wishes for you....!! Keep going on....; God bless you
Non-anti-LGBT+ content,Becox of very few Transgender doing wrong things - esp in Toll booth there is always bad name for your people - First you people have to search jobs and prove yourself - there are many good employers who are ready to provide employment based on your education qualification - incl Software companies - so try to change the image before people - Besk of Luck - i Always respect you people....
Non-anti-LGBT+ content,"article 377 is true,so supported  for me...."
Non-anti-LGBT+ content,"Let them live peacefully <3  Accept them, pawam vazhnthuttu pogattume."
Non-anti-LGBT+ content,Can talk about mental stress??
Non-anti-LGBT+ content,Part 2 i am waiting 💥💥💥
Non-anti-LGBT+ content,He's exposed that place front of public
Non-anti-LGBT+ content,First the community should start accepting inter caste wedding !!
Non-anti-LGBT+ content,Such a great personality she is
Non-anti-LGBT+ content,Aww!Heart touching vedio 💖
Non-anti-LGBT+ content,She is bold and beautiful lady
Non-anti-LGBT+ content,Right or wrong  about  marriages between  relations..???.
Non-anti-LGBT+ content,Semma acting bro
Non-anti-LGBT+ content,"Very late to have watched this movie. Heart wrenching story and the actors have really withstood by their characters so gracefully.; Only if she had understood or only if he had given her some time is that the question only i felt in my mind, im not sure.; Thanks for clarifying that a gay themed movie need not always be associated with sexual content.; Hatsoff to the creator.; 😍😍😍😍"
Non-anti-LGBT+ content,i really like his confident.... go and shine bright man...
Non-anti-LGBT+ content,"Bro....nice as usual.... ; I think u could start doing about the current affairs, important news, daily..... or whenever you want.... ; Like padmavati issues, Robert Mugabe issue in Zimbabwe.... North Kore China tie up.... and many.... ; ....; ....; Do it if you also feel the same!"
Non-anti-LGBT+ content,Black sheep ram nishanth homosexual  the channel full of talk gay content worst to speak
Non-anti-LGBT+ content,she is so sweet
Non-anti-LGBT+ content,i support you da... all the best and dont care about brainless people .
Homophobic,These people support homosexual because they do not want to take responsibility like children..just live without any use
Non-anti-LGBT+ content,Nice flim. It's good that more people are coming forward and attempting this topic. Hope our society will realise there is nothing wrong in this. Brilliant acting by this guys. Love their acting...🥰
Non-anti-LGBT+ content,Anna plzz make a vedio about Bose who is alive or dead
Non-anti-LGBT+ content,Velavan  am only son.. if I have brother i would have spoken up. Brother will get married and someone is there to take care of family. Being single son is problem for me. I could not open up.
Non-anti-LGBT+ content,I will proud of lathif
Homophobic,BIBLE SAYS 2CORINTHIANS 5:10 For we must all appear before the Judgement seat of Christ that everyone may receive the things done in his body according to that he hath done whether it be good or bad.
Non-anti-LGBT+ content,My point of you it's correct because there all feelings so respect in feelings.
Non-anti-LGBT+ content,She is beautiful
Non-anti-LGBT+ content,"Wow!!! superb!! Congratz to the director Mani shankar Iyer. Latif's acting, his emotional dialogue about madness - simply rock. Thanks for happy climax. But i m not bold as  like Latif :("
Non-anti-LGBT+ content,3:35 I bet she's lesbian
Non-anti-LGBT+ content,She is so great
Non-anti-LGBT+ content,I Agree; LGPT; Section 377
Non-anti-LGBT+ content,"Great movie, Love has no boundaries no matter what's happens"
Non-anti-LGBT+ content,🙏🙏🙏🙏you are great ; GOD bless you bro👌💪💪💪
Non-anti-LGBT+ content,Srini vasan  Yes sir! Could you share their details?
Non-anti-LGBT+ content,Rnakku oru nalla payyan venum.. ❤️; Is there anyone???
Non-anti-LGBT+ content,Bro i am crying very sad
Non-anti-LGBT+ content,Bro london sceret of Inner city
Non-anti-LGBT+ content,DRAGON BALL FAN  someone who's a Dragonball fan is telling someone else a kid! Fascinating!
Non-anti-LGBT+ content,"Super akka , super bro 😍😍😍 waiting for part 2"
Non-anti-LGBT+ content,Sathiyama aludhuta ..when I see the video... she is caring ... respected transgenders 🙏🙏🙏🙏😍😍😍😍😍😍
Non-anti-LGBT+ content,Sooo cute akka..... U look very bold..... Through this we can learn to enjoy life...On our way
Non-anti-LGBT+ content,Any one person interested in gay marriage....Please contact me
Non-anti-LGBT+ content,"At first, from the thumbnail, I thought it was Chinmayi 🤣🤣🤣🤣"
Non-anti-LGBT+ content,Sprr bro all the best bro
Non-anti-LGBT+ content,same  feel but not win;  my life😔😔😔😔
Non-anti-LGBT+ content,Yes it's true...But in our  country We are blaming the people but we no do like this...
Non-anti-LGBT+ content,Vera lvl bro hats off
Non-anti-LGBT+ content,How to become a YouTube channel anchor? Can anyone explain....
Non-anti-LGBT+ content,She is innocent nd cute
Non-anti-LGBT+ content,hormone's change according to situation and food( junk food) today's lifestyle
