text,three,five,seven
 இவளுங்ட தோலை தாங்க முடியலீங்க,0,0,0
 சொல்ல வார்த்தை இல்ல நண்ப உம்ப அருமை கான் காலங்கிட்டின்,0,0,0
 திருநங்கை பற்றி பேசும் நாயே அந்த திருநங்கை கோடா படுகுற கேவளமான ஏன பிறவி நீங்க தான் டா பர்ஸ்ட் அத ஸ்டோப் பண்ணுங்க டா பொறம்போக்கு அம்பலைஞான வேக்கமா இல ரோட் லா நிட் லா நீங்க தான டா தேடி தேடி போய்டு உங்க காமா பசிய திகுரிங்க 50 100 கொடுத்து சீ சோலவே வே வரால நீங்க ஒழுங்க இருக டா திருநங்கை பற்றி இதில் காமண்ட்ஸ் பண்ணுண எல்லவணும் திருநங்கை கோடா செக்ஸ் வச்சிடு தான் டா வந்துருபிங்க முதேவிங்கள நீங்க திருந்துங்கட பர்ஸ்ட்,0,4,6
 தாம்பி நே பொன்ன பையான,0,0,0
 ஹீ ஐஸ் அம் பிரோம் ஸ்ரீ இலங்கை கேட் 😍 ❤️❤️ வீடியோ,0,0,0
 டெனியல் ராஜ்குமார் அது கீ அவங்களோட ரிலாடியன்ஷிப் ஹவா பெர்சோனல் ஹவா வசிக்கொங்க யாருக்காசும் தெரிய பொகுத எண்ணா எண் வெளில சொல்லி இபி பன்றிங்க இதுக்கு முன்னா பையான் பொன்னு தானிய போண தப்ப பெசுவங்க ஆண இப்போ ரெண்டு பசங்க ஒன்ன போனவே தப்ப பெசுவங்க போலை இந்த உலகதுள இன்னும் எண்ணா எண்ணா நடக்க போகுதோ,0,0,0
 ஐஸ் அலக இருகங்க பட் சோசைட்டி லா வழ கஸ்டம் காட் அவங்களுக்கு நல ஒப்போர்டுநிட்டி குடுகனும் நாராய ஆப்பர்ஸ்,0,0,0
 சோ சுட் அந்த அக்கா🤩🤩,0,0,0
 அசிங்கமா இருகு இந்த பிளைகளையில்மம் கப்பதானும் குடும்பம்ண அப்பாஅம்மாஅன்னஅக்காதாம்பிமருமகன்மருமகள்அப்பா மகளோடு படுக கேட்கமகன் அம்மாவோடா படுக கேட்க பிரீடுமண் சொல்லிட்டு எல்லாரும் அல்லாரோடு படுக கேட்கநலைக்கு இதேயும் லேகல் அக்குவனுக இந்த அம்பீடர்க்கர் எண் நீக்கவில்லைஹிஸ்டரி நடந்துயெல்லாம் நல்லதுணு சொல்ல கேட்கஇதற்கு ஓர் திர்வு பெட்ரார்கள் பிள்ளைகள சரியா வழகனும் இல்லினா இப்படித்த,0,4,6
 நே லூசு போல பெண் தெய்வம் டா இதுங்க டிர்டி தாமித்,0,0,0
 பட் நே பேசர தா பாத சேமா காண்டு மேறு ஆகுது 700 குரோர் போப்புலேஷன் இருகர வார்ல்ட் லா வேறும் 20 குரோர் லிப்ட் பெரிய பூண்ட மாத்ரி ஸ்ட்ரெய்ட் ஆஹ் தபு நூ சொல்றா பேறு உன்ன ரோட் வேகு பர்ன் பண்ணனும் டீ கேனா கோதி,0,0,0
 இங்க ஆடுங்க 🐐 கோடா செக்ஸ் பண்டனருங்க ஒரு க்ரூப்  கருமம் ,0,0,0
 உனகு இருக பிடிகளான தொக்கிலா தொங்கிடு,0,0,0
 இவ்லோ பைய 😂😂,0,0,0
 ஆதி போரிக்கி முண்ட நை டிராக்டர் ஹவாதூ உனகு அபலயே கடகளய அங்கள் குடா தா பலாக கேட்க நூ நனசஎபோ கிர்ல்ஸ் குடா குடா பிரி ஹவா இருக கேட்க போல தூ,0,0,0
 கே லோவ் லா எது டிரு,0,0,0
 வங்க கே கம்முநாட்டின்கள,0,0,0
 ரகு ராம் நல இல்லன தூகு மதித்து சாவுகருது சொல்றினு இழர் வைலயும் விலாத,0,0,0
 நை பெரிய யோகியன்நை சோன்னா கடவுள் கேத்துர்வாறு பாறு😂😂 பொய் வெளைய பாறு டா நனும் எனோருதன் பேசிட்டு எருகும் பொதுநை மூகா நோலைக்கஏறு கோசு எங்க அடிங்கா,0,0,0
 அல்சோ யாம் கே ஆல் கியஸ் எல்லறும் எண்களுக்கு சூப்பர்ட் பண்ணுங்க❤️❤️❤️,0,0,0
 போரோ எபா போரோ பார்ட் 2,0,0,0
 அந்த சகோதரி காகா ஒரு லிக்👍,0,0,0
 வேரி கோட் ஓபேன் ஸ்பீச்,0,0,0
 சேமா தலைவ வைப்பாய் எல்ல  நல்ல மனசு யா உனகு🙏🙏🙏,0,0,0
 எதுல இவர இவங்களுக்கு எடா ஒதிக்குடு வெண்ணுமா நெங்கா பர்ஸ்ட் ஒழுங்க இருக 81,0,0,0
 டே நை பொய் உன்ன பேறு டா நை ஒரு அனிமல்,0,0,0
 அவங்கள மதிக்கிறோம் அவங்க நம்மலை மதிகரங்களனு பாருங்க,0,0,0
